Match ID,Radiant 1,Radiant 2,Radiant 3,Radiant 4,Radiant 5,Dire 1,Dire 2,Dire 3,Dire 4,Dire 5,Wins,
2653917801,Morphling,Templar Assassin,Slardar,Riki,Shadow Demon,Faceless Void,Kunkka,Dark Seer,Rubick,Oracle,Radiant,
2653895464,Phantom Lancer,Tinker,Windranger,Legion Commander,Rubick,Morphling,Arc Warden,Timbersaw,Riki,Winter Wyvern,Radiant,
2653923517,Morphling ,Arc Warden,Spirit Breaker,Bounty Hunter,Silencer,Wraith King,Invoker,Timbersaw,Riki,Ancient Apparition,Radiant,
2653905857,Ursa,Outworld Devourer,Night Stalker,Bloodseeker,Omniknight,Phantom Assassin,Invoker,Puck,Doom,Rubick,Radiant,
2653905897,Anti-Mage,Sniper,Phantom Assassin,Magnus,Clockwerk,Juggernaut,Invoker,Timbersaw,Riki,Earth Spirit,Dire,
2653867987,Drow Ranger,Storm Spirit,Faceless Void,Ursa,Keeper of the Light,Necrophos,Outworld Devourer,Axe,Nyx Assassin,Earthshaker,Radiant,
2653933651,Sven,Troll Warlord,Centaur Warrunner,Axe,Venomancer,Drow Ranger,Outworld Devourer,Spirit Breaker,Leshrac,Lina,Dire,
2653899157,Drow Ranger,Invoker,Bloodseeker,Bounty Hunter,Alchemist,Anti-Mage,Storm Spirit,Weaver,Lina,Oracle,Dire,
2653944717,Slark,Juggernaut,Beastmaster,Naga Siren,Bane,Troll Warlord,Invoker,Faceless Void,Lifestealer,Shadow Demon,Dire,
2653879070,Drow Ranger,Tinker,Timbersaw,Legion Commander,Keeper of the Light,Phantom Assassin,Outworld Devourer,Tidehunter,Sven,Omniknight,Radiant,
2653926165,Phantom Assassin,Storm Spirit,Puck,Rubick,Pudge,Juggernaut,Mirana,Timbersaw,Riki,Warlock,Radiant,
2653950961,Slark,Kunkka,Underlord,Sand King,Rubick,Phantom Assassin,Mirana,Axe,Undying,Shadow Shaman,Radiant,
2653931284,Morphling,Outworld Devourer,Sand King,Legion Commander,Keeper of the Light,Sven,Juggernaut,Windranger,Bloodseeker,Pudge,Radiant,
2653940923,Sven,Invoker,Timbersaw,Nyx Assassin,Witch Doctor,Juggernaut,Tinker,Legion Commander,Omniknight,Ogre Magi,Dire,
2653918209,Morphling,Drow Ranger,Necrophos,Legion Commander,Shadow Shaman,Spectre,Zeus,Faceless Void,Riki,Silencer,Dire,
2653913368,Medusa,Zeus,Sniper,Visage,Silencer,Anti-Mage,Queen of Pain,Doom,Bounty Hunter,Ogre Magi,Dire,
2653926043,Morphling,Outworld Devourer,Timbersaw,Sand King,Omniknight,Drow Ranger,Invoker,Faceless Void,Techies,Shadow Demon,Radiant,
2653924825,Faceless Void,Outworld Devourer,Abaddon,Witch Doctor,Earthshaker,Slark,Mirana,Queen of Pain,Keeper of the Light,Lion,Radiant,
2653901796,Morphling ,Phantom Assassin,Puck,Night Stalker,Warlock,Luna,Kunkka,Riki,Sand King,Winter Wyvern,Radiant,
2653931821,Anti-Mage,Lina,Clockwerk,Bounty Hunter,Shadow Demon,Sven,Drow Ranger,Tidehunter,Disruptor,Vengeful Spirit,Dire,
2653902555,Spectre,Medusa,Necrophos,Pudge,Bounty Hunter,Wraith King,Alchemist,Kunkka,Magnus,Keeper of the Light,Radiant,
2653936904,Anti-Mage,Puck,Riki,Legion Commander,Winter Wyvern,Wraith King,Meepo,Sand King,Pudge,Shadow Demon,Dire,
2653930077,Terrorblade,Meepo,Phoenix,Necrophos,Dazzle,Morphling,Phantom Assassin,Doom,Pudge,Ancient Apparition,Radiant,
2653946814,Luna,Dragon Knight,Phoenix,Bounty Hunter,Vengeful Spirit,Slark,Meepo,Axe,Riki,Necrophos,Dire,
2653919975,Phantom Lancer,Outworld Devourer,Lone Druid,Enigma,Rubick,Slark,Storm Spirit,Underlord,Omniknight,Lion,Dire,
2653920988,Medusa,Phantom Assassin,Sven,Axe,Undying,Morphling,Invoker,Broodmother,Bloodseeker,Bane,Dire,
2653916427,Phantom Assassin,Tiny,Magnus,Keeper of the Light,Vengeful Spirit,Drow Ranger,Troll Warlord,Axe,Witch Doctor,Shadow Demon,Radiant,
2653906054,Phantom Assassin,Invoker,Kunkka,Beastmaster,Skywrath Mage,Lycan,Sniper,Huskar,Tidehunter,Oracle,Radiant,
2653923522,Juggernaut,Death Prophet,Magnus,Ogre Magi,Oracle,Outworld Devourer,Invoker,Underlord,Alchemist,Witch Doctor,Radiant,
2653912785,Morphling,Tinker,Faceless Void,Ogre Magi,Bane,Anti-Mage,Mirana,Necrophos,Nyx Assassin,Earthshaker,Radiant,
2653938900,Medusa,Alchemist,Faceless Void,Legion Commander,Riki,Ursa,Juggernaut,Timbersaw,Lina,Lich,Dire,
2653920015,Faceless Void,Tinker,Kunkka,Necrophos,Shadow Shaman,Lifestealer,Mirana,Underlord,Abaddon,Disruptor,Radiant,
2653930726,Medusa,Drow Ranger,Slark,Underlord,Earthshaker,Anti-Mage,Invoker,Slardar,Nyx Assassin,Sand King,Radiant,
2653922680,Morphling ,Mirana,Faceless Void,Winter Wyvern,Keeper of the Light,Troll Warlord,Juggernaut,Magnus,Nyx Assassin,Skywrath Mage,Radiant,
2653922393,Juggernaut,Invoker,Kunkka,Riki,Rubick,Phantom Assassin,Zeus,Magnus,Necrophos,Pudge,Dire,
2653908177,Morphling,Dragon Knight,Venomancer,Nyx Assassin,Pugna,Outworld Devourer,Mirana,Clockwerk,Timbersaw,Rubick,Radiant,
2653919712,Anti-Mage,Mirana,Tiny,Centaur Warrunner,Shadow Demon,Juggernaut,Windranger,Nyx Assassin,Rubick,Bane,Radiant,
2653924774,Morphling,Queen of Pain,Faceless Void,Night Stalker,Lion,Anti-Mage,Tinker,Mirana,Keeper of the Light,Oracle,Radiant,
2653935568,Anti-Mage,Shadow Fiend,Slardar,Riki,Disruptor,Drow Ranger,Storm Spirit,Zeus,Morphling,Earthshaker,Dire,
2653916873,Gyrocopter,Sven,Razor,Enigma,Windranger,Slark,Alchemist,Sand King,Lion,Shadow Demon,Dire,
2653919517,Drow Ranger,Mirana,Slardar,Legion Commander,Lina,Juggernaut,Arc Warden,Kunkka,Windranger,Riki,Radiant,
2653872094,Juggernaut,Invoker,Kunkka,Legion Commander,Keeper of the Light,Slark,Mirana,Tidehunter,Bloodseeker,Techies,Dire,
2653910980,Lifestealer,Phantom Assassin,Sand King,Ogre Magi,Rubick,Morphling,Huskar,Pudge,Omniknight,Lion,Dire,
2653915639,Faceless Void,Mirana,Legion Commander,Ancient Apparition,Crystal Maiden,Ember Spirit,Tinker,Alchemist,Timbersaw,Lion,Dire,
2653917126,Meepo,Magnus,Elder Titan ,Nyx Assassin,Rubick,Ember Spirit,Invoker,Sven,Morphling,Lina,Dire,
2653926567,Sven,Shadow Fiend,Slardar,Omniknight,Witch Doctor,Morphling,Batrider,Faceless Void,Earth Spirit,Lion,Dire,
2653946911,Juggernaut,Sven,Axe,Pudge,Vengeful Spirit,Drow Ranger,Invoker,Phoenix,Mirana,Rubick,Dire,
2653899167,Drow Ranger,Invoker,Huskar,Axe,Pudge,Phantom Assassin,Shadow Fiend,Slardar,Ursa,Shadow Shaman,Radiant,
2653905324,Morphling ,Sniper,Faceless Void,Earth Spirit,Crystal Maiden,Spectre,Storm Spirit,Necrophos,Pudge,Treant Protector,Dire,
2653923153,Slark,Alchemist,Mirana,Magnus,Keeper of the Light,Anti-Mage,Legion Commander,Clockwerk,Axe,Rubick,Radiant,
2664177461,Spectre,Storm Spirit,Windranger,Mirana,Tusk,Sniper,Meepo,Doom,Nature's Prophet,Bloodseeker,Radiant,
2664242546,Juggernaut,Huskar,Clockwerk,Axe,Bounty Hunter,Phantom Assassin,Sniper,Alchemist,Underlord,Earthshaker,Radiant,
2664220992,Phantom Assassin,Outworld Devourer,Mirana,Legion Commander,Bounty Hunter,Drow Ranger,Puck,Weaver,Pudge,Rubick,Dire,
2664213135,Lifestealer,Huskar,Mirana,Skywrath Mage,Bounty Hunter,Slark,Storm Spirit,Sand King,Pudge,Riki,Dire,
2664243462,Drow Ranger,Shadow Fiend,Nyx Assassin,Pudge,Dazzle,Terrorblade,Bloodseeker,Sand King,Elder Titan,Disruptor,Radiant,
2664200520,Luna,Templar Assassin,Kunkka,Pudge,Riki,Faceless Void,Windranger,Batrider,Sand King,Bounty Hunter,Dire,
2664223569,Drow Ranger,Puck,Timbersaw,Mirana,Ancient Apparition,Anti-Mage,Morphling,Batrider,Axe,Crystal Maiden,Radiant,
2664208116,Spectre,Mirana,Faceless Void,Enigma,Witch Doctor,Lone Druid,Tinker,Tusk,Visage,Crystal Maiden,Radiant,
2664219283,Spectre,Zeus,Faceless Void,Beastmaster,Pudge,Morphling,Invoker,Clockwerk,Sven,Riki,Radiant,
2664220419,Tiny,Tinker,Phoenix,Bloodseeker,Disruptor,Faceless Void,Skywrath Mage,Weaver,Undying,Pudge,Radiant,
2664215376,Anti-Mage,Pudge,Timbersaw,Rubick,Bounty Hunter,Spectre,Tinker,Faceless Void,Bloodseeker,Vengeful Spirit,Radiant,
2664233448,Lifestealer,Tinker,Mirana,Ursa,Techies,Juggernaut,Queen of Pain,Phoenix,Legion Commander,Spirit Breaker,Dire,
2664204698,Phantom Lancer,Storm Spirit,Riki,Axe,Pudge,Drow Ranger,Medusa,Bloodseeker,Venomancer,Spirit Breaker,Dire,
2664200935,Alchemist,Pudge,Riki,Bounty Hunter,Ancient Apparition,Morphling,Arc Warden,Juggernaut,Nyx Assassin,Spirit Breaker,Radiant,
2664232221,Juggernaut,Storm Spirit,Sand King,Bloodseeker,Ogre Magi,Slark,Magnus,Pudge,Winter Wyvern,Omniknight,Dire,
2664229193,Morphling,Lina,Axe,Bounty Hunter,Pudge,Phantom Assassin,Invoker,Terrorblade,Sand King,Disruptor,Radiant,
2664220120,Clinkz,Phantom Assassin,Underlord,Mirana,Lina,Anti-Mage,Storm Spirit,Timbersaw,Tidehunter,Silencer,Dire,
2664214010,Morphling,Alchemist,Kunkka,Ogre Magi,Bounty Hunter,Phantom Assassin,Invoker,Nyx Assassin,Elder Titan,Ancient Apparition,Radiant,
2664222055,Juggernaut,Invoker,Mirana,Ursa,Omniknight,Drow Ranger,Alchemist,Axe,Shadow Demon,Pudge,Radiant,
2664227318,Juggernaut,Ember Spirit,Venomancer,Ogre Magi,Rubick,Luna,Timbersaw,Underlord,Mirana,Shadow Demon,Radiant,
2664205441,Lone Druid,Storm Spirit,Huskar,Magnus,Sand King,Anti-Mage,Invoker,Faceless Void,Axe,Skywrath Mage,Radiant,
2664225717,Slark,Storm Spirit,Tidehunter,Io,Skywrath Mage,Phantom Assassin,Kunkka,Faceless Void,Arc Warden,Silencer,Dire,
2664223314,Sven,Invoker,Timbersaw,Omniknight,Shadow Shaman,Juggernaut,Necrophos,Bristleback,Mirana,Crystal Maiden,Dire,
2664217395,Spectre,Alchemist,Lina,Bounty Hunter,Pudge,Razor,Storm Spirit,Slardar,Bloodseeker,Riki,Radiant,
2664218535,Drow Ranger,Storm Spirit,Magnus,Mirana,Witch Doctor,Outworld Devourer,Shadow Fiend,Faceless Void,Legion Commander,Silencer,Dire,
2664240194,Ursa,Outworld Devourer,Tidehunter,Winter Wyvern,Omniknight,Luna,Invoker,Drow Ranger,Silencer,Oracle,Dire,
2664219696,Morphling,Phantom Assassin,Nyx Assassin,Abaddon,Pudge,Drow Ranger,Tinker,Visage,Riki,Mirana,Dire,
2664228479,Morphling,Phantom Assassin,Centaur Warrunner,Enigma,Vengeful Spirit,Sven,Invoker,Broodmother,Legion Commander,Elder Titan,Radiant,
2664231976,Terrorblade,Templar Assassin,Sand King,Pudge,Disruptor,Morphling,Mirana,Bristleback,Lina,Oracle,Radiant,
2664226804,Slark,Alchemist,Magnus,Bounty Hunter,Ogre Magi,Sven,Storm Spirit,Viper,Witch Doctor,Omniknight,Dire,
2664227550,Nyx Assassin,Zeus,Broodmother,Bloodseeker,Venomancer,Sven,Invoker,Axe,Abaddon,Winter Wyvern,Dire,
2664217448,Drow Ranger,Invoker,Faceless Void,Mirana,Lion,Morphling,Pudge,Timbersaw,Legion Commander,Rubick,Radiant,
2664186535,Morphling,Sniper,Timbersaw,Abaddon,Disruptor,Juggernaut,Phantom Assassin,Drow Ranger,Mirana,Shadow Shaman,Radiant,
2664211811,Sven,Mirana,Kunkka,Nyx Assassin,Jakiro,Morphling,Shadow Fiend,Axe,Vengeful Spirit,Shadow Shaman,Radiant,
2664218922,Morphling,Invoker,Pudge,Riki,Winter Wyvern,Phantom Assassin,Mirana,Axe,Magnus,Dazzle,Radiant,
2664210357,Morphling,Sniper,Mirana,Legion Commander,Pudge,Juggernaut,Tinker,Riki,Venomancer,Disruptor,Dire,
2664192261,Morphling,Outworld Devourer,Weaver,Witch Doctor,Phoenix,Phantom Assassin,Storm Spirit,Clockwerk,Brewmaster,Pudge,Radiant,
2664221095,Phantom Assassin,Arc Warden,Tusk,Vengeful Spirit,Lion,Sven,Juggernaut,Faceless Void,Drow Ranger,Mirana,Radiant,
2664197933,Drow Ranger,Windranger,Faceless Void,Mirana,Shadow Demon,Phantom Assassin,Queen of Pain,Slardar,Riki,Omniknight,Radiant,
2664220725,Juggernaut,Mirana,Clockwerk,Kunkka,Ancient Apparition,Wraith King,Magnus,Alchemist,Rubick,Tusk,Radiant,
2664223561,Anti-Mage,Phantom Assassin,Underlord,Mirana,Zeus,Morphling,Queen of Pain,Drow Ranger,Axe,Bounty Hunter,Radiant,
2664199380,Luna,Invoker,Slardar,Phoenix,Pudge,Terrorblade,Lina,Zeus,Kunkka,Keeper of the Light,Dire,
2664218826,Outworld Devourer,Storm Spirit,Batrider,Kunkka,Vengeful Spirit,Morphling,Invoker,Timbersaw,Mirana,Earth Spirit,Dire,
2664243827,Phantom Assassin,Invoker,Abaddon,Kunkka,Riki,Luna,Templar Assassin,Faceless Void,Chaos Knight,Mirana,Radiant,
2664204225,Phantom Assassin,Storm Spirit,Queen of Pain,Axe,Omniknight,Juggernaut,Tinker,Alchemist,Phoenix,Rubick,Dire,
2664196920,Anti-Mage,Templar Assassin,Bristleback,Rubick,Dazzle,Slark,Lina,Nyx Assassin,Crystal Maiden,Oracle,Dire,
2664207642,Juggernaut,Tinker,Slardar,Sand King,Lina,Morphling,Ember Spirit,Weaver,Ursa,Winter Wyvern,Radiant,
2664181961,Meepo,Outworld Devourer,Mirana,Undying,Lion,Sven,Invoker,Timbersaw,Kunkka,Shadow Demon,Dire,
2664236653,Meepo,Puck,Sand King,Pudge,Crystal Maiden,Drow Ranger,Arc Warden,Faceless Void,Mirana,Ogre Magi,Radiant,
2664221456,Spectre,Lina,Faceless Void,Jakiro,Pudge,Chaos Knight,Tinker,Timbersaw,Bloodseeker,Naga Siren,Radiant,
2671493546,Drow Ranger,Invoker,Sand King,Axe,Omniknight,Slark,Puck,Centaur Warrunner,Lina,Riki,Radiant,
2671501638,Juggernaut,Outworld Devourer,Underlord,Witch Doctor,Rubick,Morphling,Invoker,Mirana,Riki,Ogre Magi,Dire,
2671483902,Anti-Mage,Zeus,Timbersaw,Legion Commander,Rubick,Juggernaut,Kunkka,Necrophos,Silencer,Pudge,Dire,
2671509134,Terrorblade,Tinker,Faceless Void,Riki,Warlock,Morphling,Arc Warden,Undying,Bounty Hunter,Vengeful Spirit,Radiant,
2671501064,Morphling ,Batrider,Underlord,Kunkka,Spirit Breaker,Drow Ranger,Shadow Fiend,Faceless Void,Pudge,Riki,Radiant,
2671499008,Slark,Storm Spirit,Sand King,Oracle,Skywrath Mage,Drow Ranger,Shadow Fiend,Dark Seer,Io,Lion,Radiant,
2671484969,Morphling ,Storm Spirit,Axe,Omniknight,Winter Wyvern,Drow Ranger,Phantom Assassin,Windranger,Legion Commander,Warlock,Radiant,
2671503228,Luna,Juggernaut,Axe,Earthshaker,Disruptor,Morphling,Tiny,Pudge,Underlord,Kunkka,Radiant,
2671478045,Phantom Assassin,Tiny,Doom,Bloodseeker,Silencer,Slark,Tinker,Necrophos,Tidehunter,Jakiro,Radiant,
2671492489,Troll Warlord,Tinker,Phantom Assassin,Necrophos,Omniknight,Drow Ranger,Weaver,Axe,Nature's Prophet,Shadow Demon,Radiant,
2671487750,Anti-Mage,Invoker,Dark Seer,Slardar,Riki,Wraith King,Tinker,Nyx Assassin,Pudge,Kunkka,Radiant,
2671498447,Slark,Tinker,Axe,Sand King,Kunkka,Morphling,Ember Spirit,Underlord,Lion,Riki,Dire,
2671504534,Huskar,Alchemist,Legion Commander,Nature's Prophet,Dazzle,Morphling,Invoker,Timbersaw,Doom,Keeper of the Light,Radiant,
2671488520,Luna,Invoker,Sand King,Viper,Kunkka,Morphling,Shadow Fiend,Faceless Void,Rubick,Ogre Magi,Dire,
2671486399,Drow Ranger,Outworld Devourer,Omniknight,Crystal Maiden,Vengeful Spirit,Phantom Assassin,Windranger,Pudge,Oracle,Sand King,Dire,
2671492685,Juggernaut,Puck,Phoenix,Omniknight,Lion,Drow Ranger,Mirana,Timbersaw,Phantom Assassin,Rubick,Dire,
2671497483,Drow Ranger,Morphling,Outworld Devourer,Lich,Witch Doctor,Gyrocopter,Queen of Pain,Spectre,Shadow Shaman,Pudge,Radiant,
2671495646,Sven,Tiny,Sand King,Mirana,Elder Titan,Slark,Tinker,Phantom Assassin,Disruptor,Bane,Radiant,
2671511599,Morphling ,Phantom Assassin,Sand King,Bloodseeker,Shadow Demon,Drow Ranger,Luna,Clockwerk,Bounty Hunter,Ancient Apparition,Radiant,
2671490905,Morphling ,Tinker,Underlord,Sand King,Keeper of the Light,Drow Ranger,Timbersaw,Windranger,Mirana,Ancient Apparition,Radiant,
2671493671,Faceless Void,Lina,Undying,Legion Commander,Rubick,Drow Ranger,Invoker,Timbersaw,Mirana,Underlord,Dire,
2671494313,Slark,Tiny,Juggernaut,Rubick,Skywrath Mage,Phantom Assassin,Timbersaw,Axe,Bounty Hunter,Pudge,Dire,
2671503585,Faceless Void,Alchemist,Phantom Assassin,Troll Warlord,Oracle,Terrorblade,Juggernaut,Spirit Breaker,Earthshaker,Venomancer,Dire,
2671485668,Morphling ,Storm Spirit,Faceless Void,Earth Spirit,Phoenix,Outworld Devourer,Lion,Timbersaw,Sand King,Silencer,Dire,
2671483680,Juggernaut,Invoker,Bristleback,Mirana,Dazzle,Morphling,Tinker,Faceless Void,Queen of Pain,Lich,Radiant,
2671485532,Phantom Assassin,Tinker,Timbersaw,Shadow Demon,Earthshaker,Morphling,Invoker,Dark Seer,Bloodseeker,Treant Protector,Dire,
2671475076,Luna,Outworld Devourer,Weaver,Doom,Keeper of the Light,Morphling,Tinker,Nyx Assassin,Venomancer,Pudge,Dire,
2671480689,Morphling ,Legion Commander,Sand King,Bounty Hunter,Silencer,Anti-Mage,Tiny,Riki,Pudge,Keeper of the Light,Radiant,
2671488137,Magnus,Huskar,Abaddon,Drow Ranger,Winter Wyvern,Phantom Assassin,Storm Spirit,Sand King,Bounty Hunter,Warlock,Radiant,
2671493105,Riki,Mirana,Earthshaker,Wraith King,Keeper of the Light,Phantom Lancer,Shadow Fiend,Centaur Warrunner,Pudge,Lion,Dire,
2671489888,Drow Ranger,Invoker,Axe,Riki,Shadow Demon,Juggernaut,Alchemist,Slardar,Pudge,Vengeful Spirit,Dire,
2671491352,Phantom Assassin,Storm Spirit,Pudge,Riki,Bane,Luna,Tinker,Faceless Void,Lifestealer,Ancient Apparition,Radiant,
2671485011,Slark,Windranger,Spirit Breaker,Riki,Necrophos,Anti-Mage,Puck,Axe,Rubick,Disruptor,Dire,
2671486896,Wraith King,Windranger,Centaur Warrunner,Night Stalker,Omniknight,Troll Warlord,Juggernaut,Necrophos,Riki,Lion,Dire,
2671488141,Luna,Storm Spirit,Windranger,Kunkka,Jakiro,Phantom Assassin,Invoker,Juggernaut,Pudge,Keeper of the Light,Dire,
2671494670,Phantom Assassin,Alchemist,Bristleback,Legion Commander,Zeus,Morphling,Razor,Timbersaw,Lion,Bounty Hunter,Dire,
2671492600,Luna,Timbersaw,Nyx Assassin,Enigma,Jakiro,Juggernaut,Invoker,Bloodseeker,Phoenix,Windranger,Radiant,
2671481382,Phantom Assassin,Juggernaut,Riki,Spirit Breaker,Shadow Demon,Tiny,Omniknight,Axe,Bounty Hunter,Warlock,Dire,
2671496656,Wraith King,Arc Warden,Phoenix,Ogre Magi,Riki,Drow Ranger,Luna,Faceless Void,Elder Titan,Shadow Demon,Dire,
2671497681,Juggernaut,Queen of Pain,Clockwerk,Skywrath Mage,Omniknight,Slark,Zeus,Magnus,Mirana,Treant Protector,Dire,
2671494410,Troll Warlord,Timbersaw,Sand King,Centaur Warrunner,Undying,Lifestealer,Alchemist,Batrider,Mirana,Rubick,Dire,
2671496690,Morphling ,Necrophos,Nyx Assassin,Spirit Breaker,Ancient Apparition,Luna,Invoker,Sand King,Shadow Demon,Riki,Radiant,
2671506083,Juggernaut,Kunkka,Mirana,Legion Commander,Crystal Maiden,Sven,Pudge,Elder Titan,Enigma,Dazzle,Radiant,
2671479046,Drow Ranger,Morphling,Lone Druid,Batrider,Crystal Maiden,Anti-Mage,Invoker,Arc Warden,Tusk,Nyx Assassin,Dire,
2671479847,Anti-Mage,Storm Spirit,Timbersaw,Puck,Mirana,Spectre,Viper,Slark,Axe,Lion,Radiant,
2671496939,Juggernaut,Invoker,Axe,Bloodseeker,Lion,Slark,Lina,Lone Druid,Sand King,Disruptor,Radiant,
2671488705,Drow Ranger,Windranger,Axe,Oracle,Pudge,Sven,Kunkka,Phantom Assassin,Magnus,Shadow Demon,Dire,
2671480139,Lifestealer,Invoker,Nyx Assassin,Crystal Maiden,Elder Titan,Morphling,Outworld Devourer,Bounty Hunter,Earthshaker,Skywrath Mage,Radiant,
